Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
26.06.23 12:59:03,21.05,168.57,168.35,161.57,169.29,153.71,181.25,168.46,170.84,170.47,162.08,172.99,164.26,146.63,133.72,162.26,172.6,170.49,150.45,195.68,170.52,144.02,194,152.47,153.89,,36,965,33,33.46,
26.06.23 12:59:18,21.3,168.81,168.35,161.57,167.65,152.09,181.97,168.46,171.07,172.16,159.51,173.92,166.54,145.5,133.28,161.57,172.6,169.31,149.3,196.18,170.27,143.57,194,152.02,153,,36,965,33,33.47,
26.06.23 12:59:33,21.55,169.05,167.88,161.11,166.95,150.94,181.73,168,171.07,170.71,159.51,176.02,163.8,143.69,133.06,161.8,173.07,169.78,148.84,196.67,170.52,144.02,194.5,150.9,152.33,,36,965,33,33.51,
26.06.23 12:59:48,21.8,168.81,167.88,161.57,167.41,151.86,181.73,168.46,170.84,170.71,160.68,175.08,166.31,145.05,132.62,161.34,172.37,170.73,148.61,196.67,170.27,141.79,194.75,151.12,151.66,,36,965,33,33.54,
26.06.23 13:00:03,22.05,170.01,168.12,161.57,169.53,151.17,182.21,167.53,171.07,170.47,158.35,174.85,163.35,143.92,133.28,161.8,173.3,169.78,147.69,196.18,170.52,140,194.75,151.12,151.66,,36,965,33,33.54,
26.06.23 13:00:18,22.3,170.01,167.88,161.11,167.65,149.57,182.21,167.53,170.84,170.23,158.82,174.62,160.85,142.34,131.74,160.65,173.53,169.78,147,196.67,172.49,140.89,195,150.9,150.33,,36,965,33,33.55,
26.06.23 13:00:33,22.55,169.53,167.41,162.49,167.65,149.79,182.21,167.77,172.68,170.23,158.12,177.18,162.21,142.57,131.52,163.19,172.6,170.73,147.92,197.17,170.76,140.23,195.5,150.22,149.67,,36,965,33,33.58,
26.06.23 13:00:48,22.8,170.25,166.95,162.26,167.18,150.25,182.69,168,171.3,171.67,158.58,173.45,163.8,145.05,131.3,160.42,173.77,170.97,147.69,196.92,171.5,139.56,194.75,150.9,151.22,,36,965,33,33.6,
26.06.23 13:01:03,23.05,170.01,168.12,161.8,167.41,150.02,182.69,167.53,170.38,169.75,158.58,172.29,161.08,144.6,134.38,160.19,172.6,171.44,147.23,197.42,170.76,138.89,195.25,150,149.67,,36,965,33,33.63,
26.06.23 13:01:18,23.3,170.25,166.95,160.65,168.12,147.96,182.69,169.16,170.38,171.19,158.35,172.29,160.63,144.82,130.21,159.51,174,170.97,147.46,197.42,170.02,139.56,194.5,151.57,151,,36,965,33,33.65,
