gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___RNAseq.g30232.t1,993.3877697634324,0.2835668338569307,0.11060820537790177,2.563705223207464,0.010356145707842315,0.04233237197022046,33vs30
Montipora_capitata_HIv3___RNAseq.g30233.t1a,681.3314576927388,0.40274923488938674,0.1369430089831898,2.9409988715731044,0.0032715572563444,0.01647201981297143,33vs30
Montipora_capitata_HIv3___TS.g14725.t3,402.173280367033,0.6091253110580497,0.2150683158134564,2.832241042824672,0.004622298953988536,0.021891313354851654,33vs30
Montipora_capitata_HIv3___RNAseq.g30242.t1,114.95576352446113,0.9157310047645386,0.2754488535911051,3.3245046868988304,8.857574463208469e-4,0.005480149007347192,33vs30
Montipora_capitata_HIv3___RNAseq.g30262.t1,4382.077901759373,-0.3851448077934468,0.07289644096900193,-5.283451464485401,1.267724615901653e-7,2.0945607640237557e-6,33vs30
Montipora_capitata_HIv3___TS.g14796.t1,202.41466311000698,0.7255637232691535,0.237597249443125,3.0537547255690596,0.002259967697984253,0.012088625916977458,33vs30
Montipora_capitata_HIv3___RNAseq.g30365.t1,368.42698508230126,-0.8831517144702672,0.25308125553085814,-3.489597491595282,4.8374856991401674e-4,0.003279735674622809,33vs30
Montipora_capitata_HIv3___RNAseq.g30374.t1,277.90375517647084,-0.7710953192816451,0.2211950827414617,-3.4860418673181828,4.90224274400408e-4,0.0033187622216159117,33vs30
Montipora_capitata_HIv3___RNAseq.g30376.t1,849.9017693756601,-0.7992880178580491,0.1574681470670415,-5.075871106286373,3.857247158310154e-7,5.758408136338103e-6,33vs30
Montipora_capitata_HIv3___TS.g14858.t1,532.0340256023388,-0.5299661773973118,0.16586863251252737,-3.195095838010756,0.0013978441396395218,0.008029323443467806,33vs30
Montipora_capitata_HIv3___RNAseq.g30390.t1,361.303685280161,0.45021311077730697,0.15616083220473317,2.8830091670301767,0.003938959777223659,0.019223890660529774,33vs30
Montipora_capitata_HIv3___TS.g14873.t1,2000.6145964317302,0.3807913023692043,0.07008422769392283,5.433338069047789,5.5309476330957175e-8,9.982105411373454e-7,33vs30
Montipora_capitata_HIv3___RNAseq.g30402.t1,725.2646460105182,-0.729285077733712,0.22823235937088437,-3.1953623042059607,0.0013965540500638462,0.008026396908454341,33vs30
